test_id,chapter_type,difficulty,question_type,model,setting,bleu,rouge_l,bertscore,step_correctness,latency_sec,n_contexts
0,geometry,medium,computational,gpt-4o,Baseline,0.022,0.2091,0.7433,1.0,8.762,0
1,algebra,medium,computational,gpt-4o,Baseline,0.0043,0.0661,0.6568,1.0,5.114,0
2,other,medium,computational,gpt-4o,Baseline,0.0066,0.216,0.7355,1.0,6.745,0
3,other,easy,conceptual,gpt-4o,Baseline,0.0047,0.0196,0.6531,0.8,5.347,0
4,geometry,easy,conceptual,gpt-4o,Baseline,0.0071,0.0449,0.6528,0.1,2.693,0
5,other,easy,conceptual,gpt-4o,Baseline,0.0034,0.0456,0.6476,1.0,4.033,0
6,algebra,hard,proof,gpt-4o,Baseline,0.0025,0.0701,0.7147,1.0,6.182,0
7,geometry,hard,proof,gpt-4o,Baseline,0.0065,0.1193,0.7024,1.0,3.978,0
8,geometry,easy,computational,gpt-4o,Baseline,0.0175,0.1123,0.6849,1.0,6.039,0
9,algebra,easy,computational,gpt-4o,Baseline,0.0253,0.0604,0.7497,1.0,6.439,0
10,geometry,hard,proof,gpt-4o,Baseline,0.0031,0.087,0.6531,0.8,3.805,0
11,geometry,medium,computational,gpt-4o,Baseline,0.0266,0.1167,0.7064,1.0,4.753,0
12,word_problems,medium,computational,gpt-4o,Baseline,0.0698,0.2425,0.7715,1.0,6.069,0
13,algebra,easy,conceptual,gpt-4o,Baseline,0.0088,0.0887,0.702,1.0,5.887,0
14,algebra,medium,computational,gpt-4o,Baseline,0.26,0.3067,0.833,0.8,4.944,0
15,geometry,hard,proof,gpt-4o,Baseline,0.0048,0.1011,0.7028,1.0,4.967,0
16,word_problems,easy,conceptual,gpt-4o,Baseline,0.0723,0.1875,0.7884,0.25,1.736,0
17,other,easy,conceptual,gpt-4o,Baseline,0.0012,0.0199,0.5732,1.0,3.957,0
18,geometry,easy,computational,gpt-4o,Baseline,0.0294,0.1472,0.6833,1.0,3.187,0
19,algebra,medium,computational,gpt-4o,Baseline,0.0051,0.0872,0.7031,0.5,6.627,0
0,geometry,medium,computational,gpt-4o,RAG,0.0285,0.2169,0.7614,0.8,5.638,5
1,algebra,medium,computational,gpt-4o,RAG,0.0055,0.0525,0.6528,1.0,5.853,5
2,other,medium,computational,gpt-4o,RAG,0.0222,0.2029,0.7487,0.8,8.222,5
3,other,easy,conceptual,gpt-4o,RAG,0.0049,0.019,0.6525,1.0,4.854,5
4,geometry,easy,conceptual,gpt-4o,RAG,0.0163,0.0488,0.6772,0.6,1.751,5
5,other,easy,conceptual,gpt-4o,RAG,0.0023,0.0329,0.6356,1.0,5.296,5
6,algebra,hard,proof,gpt-4o,RAG,0.0035,0.0647,0.7197,0.8,5.485,5
7,geometry,hard,proof,gpt-4o,RAG,0.0042,0.089,0.6963,1.0,3.74,5
8,geometry,easy,computational,gpt-4o,RAG,0.0218,0.1324,0.7053,1.0,4.074,5
9,algebra,easy,computational,gpt-4o,RAG,0.0231,0.0553,0.7281,0.8,7.869,5
10,geometry,hard,proof,gpt-4o,RAG,0.0036,0.1081,0.6527,0.6,2.858,5
11,geometry,medium,computational,gpt-4o,RAG,0.0282,0.1345,0.7079,1.0,6.334,5
12,word_problems,medium,computational,gpt-4o,RAG,0.1191,0.3279,0.7697,0.8,7.058,5
13,algebra,easy,conceptual,gpt-4o,RAG,0.0124,0.096,0.6939,0.8,6.433,5
14,algebra,medium,computational,gpt-4o,RAG,0.3125,0.3337,0.8424,0.8,4.477,5
15,geometry,hard,proof,gpt-4o,RAG,0.0041,0.121,0.7163,0.8,4.271,5
