test_id,difficulty,question_type,visual_required,condition,condition_label,bleu,rouge_l,bertscore,step_correctness,latency_sec,n_contexts,mean_sim
54,medium,computational,False,text_only,Text Only,0.1584,0.441,0.758,1.0,7.377,5,0.687
36,hard,proof,False,text_only,Text Only,0.0087,0.1436,0.7054,1.0,6.492,5,0.6285
62,hard,proof,False,text_only,Text Only,0.014,0.0882,0.7,0.8,4.94,5,0.5594
90,hard,proof,False,text_only,Text Only,0.034,0.129,0.6974,1.0,6.788,5,0.5905
91,medium,computational,False,text_only,Text Only,0.0272,0.135,0.7172,0.8,7.32,5,0.7871
68,easy,computational,False,text_only,Text Only,0.0133,0.0538,0.6729,0.8,4.857,5,0.6009
38,hard,proof,False,text_only,Text Only,0.2351,0.497,0.82,0.8,8.034,5,0.6805
60,medium,computational,False,text_only,Text Only,0.0199,0.0881,0.6727,1.0,6.445,5,0.6358
51,hard,conceptual,False,text_only,Text Only,0.1091,0.2904,0.778,1.0,5.749,5,0.6945
55,easy,conceptual,False,text_only,Text Only,0.0029,0.0168,0.6159,0.8,6.918,5,0.5722
73,hard,proof,False,text_only,Text Only,0.0307,0.1124,0.6954,0.8,5.434,5,0.6358
97,hard,proof,False,text_only,Text Only,0.0052,0.0747,0.7068,0.8,5.841,5,0.7054
0,medium,computational,False,text_only,Text Only,0.0638,0.2339,0.7709,0.8,7.8,5,0.7648
50,hard,proof,False,text_only,Text Only,0.0091,0.1587,0.6913,0.8,5.953,5,0.6929
46,hard,proof,False,text_only,Text Only,0.0034,0.1012,0.6924,1.0,5.243,5,0.5682
95,medium,conceptual,False,text_only,Text Only,0.1061,0.2508,0.7705,0.8,6.83,5,0.694
89,medium,computational,False,text_only,Text Only,0.045,0.1963,0.7411,1.0,3.985,5,0.5742
81,hard,proof,False,text_only,Text Only,0.033,0.1137,0.7186,1.0,4.554,5,0.61
94,hard,proof,False,text_only,Text Only,0.007,0.1408,0.6829,1.0,5.395,5,0.7165
7,hard,proof,False,text_only,Text Only,0.0165,0.1245,0.7166,1.0,4.288,5,0.6462
67,hard,proof,False,text_only,Text Only,0.0246,0.1268,0.759,1.0,7.237,5,0.625
