test_id,chapter_type,difficulty,question_type,model,workflow,bleu,rouge_l,bertscore,step_correctness,latency_sec,iterations,n_retrieves,self_eval_score,mean_relevance
6,algebra,hard,proof,gpt-4o,static_rag,0.0027,0.0671,0.7183,1.0,11.468,1,1,,
7,geometry,hard,proof,gpt-4o,static_rag,0.0058,0.1016,0.6923,1.0,4.834,1,1,,
10,geometry,hard,proof,gpt-4o,static_rag,0.0032,0.1026,0.6492,0.6,3.47,1,1,,
15,geometry,hard,proof,gpt-4o,static_rag,0.0131,0.1529,0.7103,1.0,4.889,1,1,,
25,geometry,hard,conceptual,gpt-4o,static_rag,0.1378,0.2027,0.82,0.6,5.911,1,1,,
28,geometry,hard,proof,gpt-4o,static_rag,0.0095,0.1043,0.7034,0.8,3.917,1,1,,
30,geometry,hard,computational,gpt-4o,static_rag,0.0272,0.1226,0.746,0.8,5.71,1,1,,
36,geometry,hard,proof,gpt-4o,static_rag,0.0052,0.1156,0.6994,1.0,5.21,1,1,,
37,other,hard,computational,gpt-4o,static_rag,0.0111,0.1066,0.6877,0.8,7.348,1,1,,
38,geometry,hard,proof,gpt-4o,static_rag,0.331,0.5442,0.8383,0.8,5.283,1,1,,
39,geometry,hard,conceptual,gpt-4o,static_rag,0.042,0.1582,0.773,1.0,7.007,1,1,,
42,geometry,hard,proof,gpt-4o,static_rag,0.0641,0.2226,0.777,0.6,6.821,1,1,,
45,algebra,hard,conceptual,gpt-4o,static_rag,0.0626,0.2674,0.7747,0.8,4.446,1,1,,
46,geometry,hard,proof,gpt-4o,static_rag,0.0028,0.0718,0.696,1.0,6.513,1,1,,
47,geometry,hard,proof,gpt-4o,static_rag,0.0203,0.1056,0.7169,0.8,4.427,1,1,,
50,geometry,hard,proof,gpt-4o,static_rag,0.0093,0.1756,0.6925,0.8,9.971,1,1,,
51,geometry,hard,conceptual,gpt-4o,static_rag,0.1116,0.2741,0.8179,0.8,5.47,1,1,,
56,geometry,hard,proof,gpt-4o,static_rag,0.0179,0.1625,0.7198,1.0,4.066,1,1,,
62,geometry,hard,proof,gpt-4o,static_rag,0.0183,0.0889,0.7022,1.0,4.107,1,1,,
66,geometry,hard,proof,gpt-4o,static_rag,0.0112,0.1517,0.7279,1.0,4.617,1,1,,
67,geometry,hard,proof,gpt-4o,static_rag,0.021,0.1139,0.7553,0.8,5.622,1,1,,
73,geometry,hard,proof,gpt-4o,static_rag,0.0353,0.1194,0.701,1.0,4.452,1,1,,
75,geometry,hard,proof,gpt-4o,static_rag,0.003,0.0763,0.7194,0.8,4.815,1,1,,
79,algebra,hard,proof,gpt-4o,static_rag,0.0043,0.0679,0.7163,1.0,3.894,1,1,,
81,geometry,hard,proof,gpt-4o,static_rag,0.0339,0.1077,0.7079,1.0,4.877,1,1,,
82,algebra,hard,conceptual,gpt-4o,static_rag,0.0531,0.1973,0.7803,0.8,5.804,1,1,,
83,algebra,hard,proof,gpt-4o,static_rag,0.0024,0.0232,0.6784,1.0,6.767,1,1,,
84,geometry,hard,conceptual,gpt-4o,static_rag,0.0231,0.1589,0.7293,0.8,6.673,1,1,,
90,geometry,hard,proof,gpt-4o,static_rag,0.0286,0.1046,0.6903,1.0,4.549,1,1,,
93,geometry,hard,proof,gpt-4o,static_rag,0.0047,0.1058,0.6946,1.0,6.157,1,1,,
94,geometry,hard,proof,gpt-4o,static_rag,0.0163,0.1266,0.7198,1.0,3.602,1,1,,
96,algebra,hard,proof,gpt-4o,static_rag,0.0054,0.0952,0.7318,1.0,5.584,1,1,,
97,geometry,hard,proof,gpt-4o,static_rag,0.0046,0.0781,0.7065,1.0,5.553,1,1,,
6,algebra,hard,proof,gpt-4o,self_rag,0.0029,0.0833,0.7215,0.8,6.996,1,1,5.0,
7,geometry,hard,proof,gpt-4o,self_rag,0.0039,0.085,0.69,1.0,4.994,1,1,5.0,
10,geometry,hard,proof,gpt-4o,self_rag,0.0039,0.1243,0.6688,0.6,4.464,1,1,5.0,
15,geometry,hard,proof,gpt-4o,self_rag,0.006,0.1303,0.6988,0.8,17.432,3,3,3.0,
25,geometry,hard,conceptual,gpt-4o,self_rag,0.2221,0.3683,0.8349,0.6,5.891,1,1,5.0,
28,geometry,hard,proof,gpt-4o,self_rag,0.0113,0.139,0.673,0.8,10.4,2,2,5.0,
30,geometry,hard,computational,gpt-4o,self_rag,0.0148,0.115,0.7401,0.8,7.045,1,1,5.0,
36,geometry,hard,proof,gpt-4o,self_rag,0.0116,0.1733,0.7134,1.0,19.18,3,3,3.0,
37,other,hard,computational,gpt-4o,self_rag,0.0145,0.1449,0.6992,1.0,20.706,2,2,4.0,
38,geometry,hard,proof,gpt-4o,self_rag,0.2834,0.5128,0.829,0.8,5.33,1,1,5.0,
39,geometry,hard,conceptual,gpt-4o,self_rag,0.0435,0.1536,0.7896,0.8,7.447,1,1,4.0,
42,geometry,hard,proof,gpt-4o,self_rag,0.0653,0.2096,0.7727,0.6,7.399,1,1,5.0,
45,algebra,hard,conceptual,gpt-4o,self_rag,0.0656,0.2479,0.7791,0.8,5.049,1,1,5.0,
46,geometry,hard,proof,gpt-4o,self_rag,0.0031,0.1021,0.6978,1.0,6.275,1,1,5.0,
47,geometry,hard,proof,gpt-4o,self_rag,0.0165,0.1063,0.6983,1.0,16.794,3,3,3.0,
50,geometry,hard,proof,gpt-4o,self_rag,0.0045,0.1165,0.6933,0.8,18.513,3,3,3.0,
51,geometry,hard,conceptual,gpt-4o,self_rag,0.1005,0.293,0.8108,0.6,6.476,1,1,5.0,
56,geometry,hard,proof,gpt-4o,self_rag,0.0199,0.1328,0.735,1.0,20.515,3,3,3.0,
62,geometry,hard,proof,gpt-4o,self_rag,0.0208,0.0857,0.7294,0.6,17.813,3,3,3.0,
66,geometry,hard,proof,gpt-4o,self_rag,0.0138,0.1299,0.7364,1.0,14.027,3,3,3.0,
67,geometry,hard,proof,gpt-4o,self_rag,0.0242,0.1521,0.7482,0.8,5.759,1,1,5.0,
