test_id,chapter_type,difficulty,question_type,embedding,bleu,rouge_l,bertscore,step_correctness,mean_sim,latency_sec,n_contexts
0,geometry,medium,computational,BERT+CLIP+DESC (Original),0.0266,0.2,0.7508,0.8,0.8728,11.357,5
1,algebra,medium,computational,BERT+CLIP+DESC (Original),0.005,0.0698,0.6635,0.8,0.7253,8.948,5
2,other,medium,computational,BERT+CLIP+DESC (Original),0.029,0.2516,0.762,0.8,0.8647,9.307,5
3,other,easy,conceptual,BERT+CLIP+DESC (Original),0.0035,0.0143,0.6605,0.8,0.7122,8.835,5
4,geometry,easy,conceptual,BERT+CLIP+DESC (Original),0.0019,0.0133,0.5739,1.0,0.6106,6.149,5
5,other,easy,conceptual,BERT+CLIP+DESC (Original),0.0027,0.0401,0.6451,0.8,0.6982,12.796,5
6,algebra,hard,proof,BERT+CLIP+DESC (Original),0.0032,0.0706,0.7203,1.0,0.7447,9.788,5
7,geometry,hard,proof,BERT+CLIP+DESC (Original),0.0058,0.1013,0.6953,1.0,0.7559,5.418,5
8,geometry,easy,computational,BERT+CLIP+DESC (Original),0.0259,0.126,0.6974,0.8,0.8027,4.53,5
9,algebra,easy,computational,BERT+CLIP+DESC (Original),0.0223,0.0712,0.7322,0.8,0.7891,6.149,5
10,geometry,hard,proof,BERT+CLIP+DESC (Original),0.0031,0.1015,0.6447,0.6,0.7228,5.074,5
11,geometry,medium,computational,BERT+CLIP+DESC (Original),0.0291,0.1349,0.7055,1.0,0.8025,6.718,5
12,word_problems,medium,computational,BERT+CLIP+DESC (Original),0.0291,0.2256,0.7212,0.8,0.9014,9.569,5
13,algebra,easy,conceptual,BERT+CLIP+DESC (Original),0.0095,0.0772,0.6941,1.0,0.7636,7.357,5
14,algebra,medium,computational,BERT+CLIP+DESC (Original),0.3037,0.3255,0.8462,0.8,0.8107,6.46,5
15,geometry,hard,proof,BERT+CLIP+DESC (Original),0.0054,0.1173,0.7082,0.8,0.7554,7.346,5
16,word_problems,easy,conceptual,BERT+CLIP+DESC (Original),0.0011,0.0228,0.6077,1.0,0.6145,6.081,5
17,other,easy,conceptual,BERT+CLIP+DESC (Original),0.0027,0.0402,0.5989,0.8,0.7259,4.533,5
18,geometry,easy,computational,BERT+CLIP+DESC (Original),0.0264,0.1264,0.6628,0.8,0.8109,4.011,5
19,algebra,medium,computational,BERT+CLIP+DESC (Original),0.0049,0.086,0.7036,0.8,0.8217,8.787,5
0,geometry,medium,computational,BGE-M3 (New),0.0329,0.2213,0.7571,0.8,0.8947,9.284,5
1,algebra,medium,computational,BGE-M3 (New),0.0048,0.0769,0.6491,1.0,0.7965,5.291,5
2,other,medium,computational,BGE-M3 (New),0.0302,0.2596,0.7766,1.0,0.8734,9.332,5
3,other,easy,conceptual,BGE-M3 (New),0.0043,0.0179,0.6577,1.0,0.8025,5.728,5
4,geometry,easy,conceptual,BGE-M3 (New),0.0041,0.0166,0.5958,0.8,0.7275,8.2,5
5,other,easy,conceptual,BGE-M3 (New),0.0031,0.0436,0.6407,1.0,0.7533,6.621,5
6,algebra,hard,proof,BGE-M3 (New),0.0037,0.0718,0.722,1.0,0.796,7.107,5
7,geometry,hard,proof,BGE-M3 (New),0.0068,0.1127,0.7078,1.0,0.8175,5.104,5
8,geometry,easy,computational,BGE-M3 (New),0.0217,0.1168,0.69,1.0,0.8247,6.07,5
